group,new_group,title,country,n_uris,in_current_list,merged_variants,sources,conflict
凤凰,no,凤凰卫视中文台,,7,凤凰卫视中文台,凤凰中文;凤凰卫视;凤凰中文高清;凤凰卫视台;凤凰中文台,01;13;18;20;21,
凤凰,no,凤凰卫视资讯台,,5,凤凰卫视资讯台,凤凰资讯;凤凰资讯台;凤凰资讯高清,01;13;18;20;21,
凤凰,no,凤凰卫视香港台,,5,凤凰卫视香港台,凤凰香港;凤凰香港高清;凤凰香港台,01;13;18;20;21,
凤凰,no,凤凰电影,,1,,凤凰电影,21,
港台新闻,no,無綫新聞台,,7,無綫新聞台,无线新闻;无线新闻台;無綫新聞台;無綫新聞台國際版,01;18;19;20;21,
港台新闻,no,翡翠台,HK,19,翡翠台,翡翠台;Jade (1080p);「HK」翡翠台;翡翠台「字幕」;翡翠台北美版;TVB翡翠台（备用）;华丽翡翠台「新加坡」;华丽翡翠台;华丽翡翠台「硬字幕」;TVB翡翠台 1080P;TVB翡翠台 4K;翡翠台「WebVTT字幕」,01;02;14;18;20;21;22,翡翠台 4K
港台新闻,no,Now 新聞台,,1,,Now新聞台,01,
港台新闻,no,HOY 資訊台,,1,,HOY 資訊台,01,
港台新闻,no,HOY TV,,4,,HOY TV,01;21,
港台新闻,no,ViuTV,,5,ViuTV,Viutv;VIUTV;ViuTV;「HK」VIU TV,01;14;18;20;21,
港台新闻,no,RTHK 31,HK,3,RTHK 31,RTHK TV 31 (港台電視31) (1080p) [Geo-blocked];RTHK TV 31;RTHK31;港台电视31,01;02;11;21;22,
港台新闻,no,RTHK 32,,2,,RTHK32;港台电视32,01;21;22,
港台新闻,no,中天新聞,,1,,中天新闻,22,
港台新闻,no,TVBS新聞,,1,,TVBS新闻台,21;22,
港台新闻,no,TVBS,TW,1,TVBS,TVBS Asia (1080p),02;08,
港台新闻,no,民視新聞,,2,,民视新闻台;民视新闻,14;22,
港台新闻,no,寰宇新聞,,1,,寰宇新闻,22,
港台新闻,no,台視新聞,,3,,台视新闻,14;21;22,
港台新闻,no,NewsWorld,HK,2,,NewsWorld (1080p);NewsWorld,01;02,
港台新闻,no,TVB娱乐新闻台,,1,,TVB娱乐新闻台,21,
港台新闻,no,翡翠台 4K,,1,,翡翠台 4K「字幕」,01,
国际新闻,no,BBC News,UK,5,BBC News,BBC News North America (1080p);BBC News Europe (576p);BBC News Latin America (720p);BBC News (1080p);BBC News,02;11,
国际新闻,no,Al Jazeera English,QA,3,Al Jazeera English,Al Jazeera English (1080p);Al Jazeera;Al Jazeera English HD (576p);Al Jazeera 2 (1080p);Al Jazeera 2,02;11,
国际新闻,no,Sky News,IE,2,Sky News,Sky News HD (1080p);Sky News,02,
国际新闻,no,France 24 English,FR,1,France 24 English,France 24 English (1080p),02,
国际新闻,no,DW English,DE,2,DW English,DW English (1080p);DW,02;11,
国际新闻,no,NHK World-Japan,JP,1,NHK World-Japan,NHK World-Japan (1080p),02,
国际新闻,no,Euronews English,FR,2,Euronews English,Euronews English HD;Euronews English (720p),02,
国际新闻,no,Bloomberg TV,US,14,Bloomberg TV,Bloomberg TV Europe (720p);Bloomberg TV;Bloomberg Television (Europe);Bloomberg TV+;Bloomberg;Bloomberg Television (US);Bloomberg News Asia;Bloomberg TV Asia (720p);Bloomberg TV Asia Live Event (720p);Bloomberg TV Australia (270p);Bloomberg TV Asia Live Event;Bloomberg TV Asia (Live);Bloomberg TV US Politics Live Event (720p);Bloomberg TV EMEA Live Event (720p);Bloomberg TV (1080p);Bloomberg TV US Live Event (720p);Bloomberg TV+ (2160p),02;11;14;26,
国际新闻,no,CNBC,UK,1,CNBC,CNBC (1080p),02,
国际新闻,no,CNA,SG,1,CNA,CNA (1080p) [Geo-blocked];ChannelNewsAsia FHD,02;26,
国际新闻,no,Arirang,KR,7,Arirang,Arirang TV (1080p);ArirangTV FHD;Arirang World;Arirang;ArirangTV HD;Arirang 阿里郎;Arirang TV HD (720p),02;11;14;21;22;26,
国际新闻,no,TRT World,TR,2,TRT World,TRT World (1080p) [Not 24/7];TRT World;TRT World HD,02;11,
国际新闻,no,ABC News Australia,AU,2,ABC News Australia,ABC News;ABC News (720p),02;11,
国际新闻,no,ABC News Live,US,2,,ABC News Live (720p);ABC News Live,02;21;22,
国际新闻,no,CBS News,US,2,CBS News,CBS News;CBS News 24/7 (720p),02;11,
国际新闻,no,NBC News Now,US,2,NBC News Now,NBC News NOW (1080p);NBC News NOW;NBC News,02;11,
国际新闻,no,Fox News,US,1,Fox News,Fox News Channel (720p),02,
国际新闻,no,Reuters TV,US,1,Reuters TV,Reuters (1080p);Reuters,02;11,
国际新闻,no,GB News,UK,4,,GB News;GB News HD (2160p);GB News (1080p),02;11;14,
国际新闻,no,Newsmax TV,US,3,,Newsmax TV (720p);「US」 Newsma xTV;Newsmax;Newsmax TV,02;11;14;21;22,Newsmax
国际新闻,no,Sky News Arabia,AE,3,,Sky News Arabia (1080p) [Not 24/7];Sky News Arabia;Sky News العربية;Sky News Arabia (1080p),02;11,Sky News العربية
国际新闻,no,24 Kanal,UA,2,,24 Kanal;24 Kanal (720p),02;11,
国际新闻,no,ABP News,IN,2,,ABP News (1080p);ABP News,02;11,
国际新闻,no,Al Jazeera Mubasher,QA,2,,Al Jazeera Mubasher;Al Jazeera Mubasher (1080p),02;11,
国际新闻,no,America's Voice,US,2,,America's Voice;America's Voice (720p),02;11,
国际新闻,no,Belarus-24,BY,2,,Belarus-24 (576p);Belarus-24 HD (1080p),02,
国际新闻,no,CNA (AL),AL,2,,CNA;CNA (1080p),02;11;21;22,
国际新闻,no,Cosmos Tv (AR),AR,2,,Cosmos Tv,02,
国际新闻,no,DD News,IN,2,,DD News HD (1080p);DD News (576p),02,
国际新闻,no,DW Español,DE,2,,DW Español Ⓢ;DW Espanol (1080p),02;11,
国际新闻,no,El Pinguino TV,CL,2,,El Pinguino TV (720p);El Pingüino TV,02;11,
国际新闻,no,Global News,CA,2,,Global News,11,
国际新闻,no,HollyWire,US,2,,HollyWire;HollyWire (720p),02;14,
国际新闻,no,India Today,IN,2,,India Today (720p);India Today,02;11,
国际新闻,no,M1 (HU),HU,2,,M1 Ⓖ;M1 HD,02;11,
国际新闻,no,Minformo TV,IT,2,,Minformo TV (720p);Minformo Tv,02;11,
国际新闻,no,RTP Noticias,PT,2,,RTP Noticias (504p) [Not 24/7];RTP Noticias (720p) [Not 24/7],02,
国际新闻,no,Record News,BR,2,,Record News;Record News (720p),02;11,
国际新闻,no,Scripps News,US,2,,Scripps News (1080p);Scripps News,02;11,
国际新闻,no,T13 En Vivo,CL,2,,T13 En Vivo (1080p);T13 en vivo,02;11,
国际新闻,no,TV Brusque,BR,2,,TV Brusque (720p);TV Brusque,02;14,
国际新闻,no,TV5Monde Info,FR,2,,TV5Monde Info (1080p) [Geo-blocked];TV5 Monde Info,02;11,
国际新闻,no,TV9 Kannada,IN,2,,TV9 Kannada;TV9 Kannada (576p),02;11,
国际新闻,no,Telesur English,VE,2,,Telesur English (480p);Telesur English HD (1080p),02,
国际新闻,no,10 TV,IN,1,,10 TV (720p),02,
国际新闻,no,100% News,UA,1,,100% News (576p),02,
国际新闻,no,13 Siam Thai,TH,1,,13 Siam Thai (1080p),02,
国际新闻,no,22Scope News,IN,1,,22Scope News (1080p),02,
国际新闻,no,24 News (IN),IN,1,,24 News (576p),02,
国际新闻,no,24 News (PK),PK,1,,24 News HD,02,
国际新闻,no,24 Канал,UA,1,,24 Канал (1080p),02,
国际新闻,no,24/7 Canal de Noticias,AR,1,,24/7 Canal de Noticias,02,
国际新闻,no,24KZ,KZ,1,,24KZ (576p),02,
国际新闻,no,30A Georgia Hollywood Review TV,US,1,,30A Georgia Hollywood Review TV (720p),02,
国际新闻,no,360 TV,TR,1,,360 TV (720p) [Not 24/7],02,
国际新闻,no,360° Новости,RU,1,,360° Новости (1080p);360 Новости,02;11,
国际新闻,no,365 News,PK,1,,365 News,02,
国际新闻,no,3CatInfo,ES,1,,3CatInfo (1080p);3/24,02;11,3/24
国际新闻,no,4TV News,IN,1,,4TV News (576p),02,
国际新闻,no,6 TV Telugu,IN,1,,6 TV Telugu (576p),02,
国际新闻,no,7 Info,CI,1,,7 Info,02,
国际新闻,no,7 News,PK,1,,7 News (720p),02,
国际新闻,no,99TV,IN,1,,99TV (720p),02,
国际新闻,no,:24,SK,1,,:24 (1080p),02,
国际新闻,no,A Haber,TR,1,,A Haber (1080p),02,
国际新闻,no,A24,AR,1,,A24 (720p),02,
国际新闻,no,ABC 25 News Central Texas,US,1,,ABC 25 News Central Texas (720p),02,
国际新闻,no,ABN Andhra Jyoti,IN,1,,ABN Andhra Jyoti (720p),02,
国际新闻,no,ABP Ananda,IN,1,,ABP Ananda (1080p);ABP Ananda,02;11,
国际新闻,no,ABP Asmita,IN,1,,ABP Asmita (1080p),02,
国际新闻,no,ABP Ganga,IN,1,,ABP Ganga (1080p),02,
国际新闻,no,ABP Majha,IN,1,,ABP Majha (360p),02,
国际新闻,no,ADN 40,MX,1,,ADN 40 (720p);ADN Noticias,02;11,ADN Noticias
国际新闻,no,AKD Calcutta News,IN,1,,AKD Calcutta News (1080p),02,
国际新闻,no,AL24 News,DZ,1,,AL24 News,02,
国际新闻,no,ALWifak News TV,LB,1,,ALWifak News TV (720p),02,
国际新闻,no,AMX Noticias,MX,1,,AMX Noticias (720p) [Not 24/7],02,
国际新闻,no,ANB News,IN,1,,ANB News (720p),02,
国际新闻,no,ATV+,PE,1,,ATV+ (1080p);ATV+ Noticias,02;11,ATV+ Noticias
国际新闻,no,Aaj Ki Khabar,IN,1,,Aaj Ki Khabar (1080p),02,
国际新闻,no,Aaj Tak,IN,1,,Aaj Tak HD (1080p),02,
国际新闻,no,Abante TV,PH,1,,Abante TV (1080p),02,
